IP 地址,端口,运营商,延迟(ms),丢包率(%)
141.101.114.2,443,多线,92.3,0.1
141.101.113.239,443,多线,92.3,0.1
141.101.113.82,443,多线,92.7,0.1
141.101.114.76,443,多线,92.9,0.1
141.101.115.38,443,多线,93.4,0.1
141.101.113.54,443,多线,95.5,0.1
141.101.113.199,443,多线,95.6,0.1
141.101.114.50,443,多线,96.5,0.1
141.101.113.250,443,多线,99.3,0.1
141.101.115.172,443,多线,99.9,0.1
104.16.125.211,443,移动,100.9,0.1
141.101.114.144,443,多线,101.5,0.1
141.101.115.232,443,多线,101.6,0.1
141.101.114.40,443,多线,104.4,0.1
172.64.52.239,443,联通,106.6,0.0
141.101.115.114,443,多线,111.3,0.1
141.101.114.90,443,多线,111.3,0.1
141.101.123.39,443,多线,112.0,0.1
141.101.115.219,443,多线,118.7,0.1
141.101.114.84,443,多线,123.5,0.1
141.101.115.133,443,多线,124.2,0.1
141.101.114.102,443,多线,124.9,0.1
141.101.113.236,443,多线,126.4,0.1
141.101.115.156,443,多线,127.5,0.1
141.101.114.14,443,多线,128.1,0.1
